"Velocity:0","Velocity:1","Velocity:2","Points:0","Points:1","Points:2"
0,0,0,0.17,0,0
0,0,0,0.17,0.002,0
0,0,0,0.17,0,0
0,0,0,0.17,0.002,0
0,0,0,0.18,0,0
0,0,0,0.18,0.002,0
0,0,0,0.18,0,0
0,0,0,0.18,0.002,0
0,0,0,0.18,0,0
0,0,0,0.18,0.002,0
0,0,0,0.18,0,0
0,0,0,0.18,0.002,0
0,0,0,0.18,0,0
0,0,0,0.18,0.002,0
0,0,0,0.18,0,0
0,0,0,0.18,0.002,0
0,0,0,0.18,0,0
0,0,0,0.18,0.002,0
0,0,0,0.18,0,0
0,0,0,0.18,0.002,0
0,0,0,0.18,0,0
0,0,0,0.18,0.002,0
0,0,0,0.19,0,0
0,0,0,0.19,0.002,0
0,0,0,0.19,0,0
0,0,0,0.19,0.002,0
0,0,0,0.19,0,0
0,0,0,0.19,0.002,0
0,0,0,0.19,0,0
0,0,0,0.19,0.002,0
0,0,0,0.19,0,0
0,0,0,0.19,0.002,0
0,0,0,0.19,0,0
0,0,0,0.19,0.002,0
0,0,0,0.19,0,0
0,0,0,0.19,0.002,0
0,0,0,0.19,0,0
0,0,0,0.19,0.002,0
0,0,0,0.19,0,0
0,0,0,0.19,0.002,0
0,0,0,0.19,0,0
0,0,0,0.19,0.002,0
0,0,0,0.19,0,0
0,0,0,0.19,0.002,0
0,0,0,0.2,0,0
0,0,0,0.2,0.002,0
0,0,0,0.2,0,0
0,0,0,0.2,0.002,0
0,0,0,0.2,0,0
0,0,0,0.2,0.002,0
0,0,0,0.2,0,0
0,0,0,0.2,0.002,0
0,0,0,0.2,0,0
0,0,0,0.2,0.002,0
0,0,0,0.2,0,0
0,0,0,0.2,0.002,0
0,0,0,0.2,0,0
0,0,0,0.2,0.002,0
0,0,0,0.2,0,0
0,0,0,0.2,0.002,0
0,0,0,0.2,0,0
0,0,0,0.2,0.002,0
0,0,0,0.2,0,0
0,0,0,0.2,0.002,0
0,0,0,0.21,0,0
0,0,0,0.21,0.002,0
0,0,0,0.21,0,0
0,0,0,0.21,0.002,0
0,0,0,0.21,0,0
0,0,0,0.21,0.002,0
0,0,0,0.21,0,0
0,0,0,0.21,0.002,0
0,0,0,0.21,0,0
0,0,0,0.21,0.002,0
0,0,0,0.21,0,0
0,0,0,0.21,0.002,0
0,0,0,0.21,0,0
0,0,0,0.21,0.002,0
0,0,0,0.21,0,0
0,0,0,0.21,0.002,0
0,0,0,0.21,0,0
0,0,0,0.21,0.002,0
0,0,0,0.22,0,0
0,0,0,0.22,0.002,0
0,0,0,0.22,0,0
0,0,0,0.22,0.002,0
0,0,0,0.22,0,0
0,0,0,0.22,0.002,0
0,0,0,0.22,0,0
0,0,0,0.22,0.002,0
0,0,0,0.22,0,0
0,0,0,0.22,0.002,0
0,0,0,0.22,0,0
0,0,0,0.22,0.002,0
0,0,0,0.22,0,0
0,0,0,0.22,0.002,0
0,0,0,0.22,0,0
0,0,0,0.22,0.002,0
0,0,0,0.22,0,0
0,0,0,0.22,0.002,0
0,0,0,0.22,0,0
0,0,0,0.22,0.002,0
0,0,0,0.22,0,0
0,0,0,0.22,0.002,0
0,0,0,0.23,0,0
0,0,0,0.23,0.002,0
0,0,0,0.23,0,0
0,0,0,0.23,0.002,0
0,0,0,0.23,0,0
0,0,0,0.23,0.002,0
0,0,0,0.23,0,0
0,0,0,0.23,0.002,0
0,0,0,0.23,0,0
0,0,0,0.23,0.002,0
0,0,0,0.23,0,0
0,0,0,0.23,0.002,0
0,0,0,0.23,0,0
0,0,0,0.23,0.002,0
0,0,0,0.23,0,0
0,0,0,0.23,0.002,0
0,0,0,0.23,0,0
0,0,0,0.23,0.002,0
0,0,0,0.23,0,0
0,0,0,0.23,0.002,0
0,0,0,0.24,0,0
0,0,0,0.24,0.002,0
0,0,0,0.24,0,0
0,0,0,0.24,0.002,0
0,0,0,0.24,0,0
0,0,0,0.24,0.002,0
0,0,0,0.24,0,0
0,0,0,0.24,0.002,0
0,0,0,0.24,0,0
0,0,0,0.24,0.002,0
0,0,0,0.24,0,0
0,0,0,0.24,0.002,0
0,0,0,0.24,0,0
0,0,0,0.24,0.002,0
0,0,0,0.24,0,0
0,0,0,0.24,0.002,0
0,0,0,0.24,0,0
0,0,0,0.24,0.002,0
0,0,0,0.25,0,0
0,0,0,0.25,0.002,0
0,0,0,0.25,0,0
0,0,0,0.25,0.002,0
0,0,0,0.25,0,0
0,0,0,0.25,0.002,0
0,0,0,0.25,0,0
0,0,0,0.25,0.002,0
0,0,0,0.25,0,0
0,0,0,0.25,0.002,0
0,0,0,0.25,0,0
0,0,0,0.25,0.002,0
0,0,0,0.25,0,0
0,0,0,0.25,0.002,0
0,0,0,0.25,0,0
0,0,0,0.25,0.002,0
0,0,0,0.25,0,0
0,0,0,0.25,0.002,0
0,0,0,0.25,0,0
0,0,0,0.25,0.002,0
0,0,0,0.25,0,0
0,0,0,0.25,0.002,0
0,0,0,0,0.13,0
0,0,0,0,0.13,0
0,0,0,0,0.13,0
0,0,0,0,0.13,0
0,0,0,0.002,0.13,0
0,0,0,0.002,0.13,0
0,0,0,0.002,0.13,0
0,0,0,0.002,0.13,0
0,0,0,0,0.13,0
0,0,0,0,0.13,0
0,0,0,0,0.13,0
0,0,0,0,0.14,0
0,0,0,0.002,0.13,0
0,0,0,0.002,0.13,0
0,0,0,0.002,0.13,0
0,0,0,0.002,0.14,0
0,0,0,0,0.14,0
0,0,0,0,0.14,0
0,0,0,0,0.14,0
0,0,0,0,0.14,0
0,0,0,0.002,0.14,0
0,0,0,0.002,0.14,0
0,0,0,0.002,0.14,0
0,0,0,0.002,0.14,0
0,0,0,0,0.14,0
0,0,0,0,0.14,0
0,0,0,0,0.14,0
0,0,0,0,0.14,0
0,0,0,0.002,0.14,0
0,0,0,0.002,0.14,0
0,0,0,0.002,0.14,0
0,0,0,0.002,0.14,0
0,0,0,0,0.14,0
0,0,0,0,0.14,0
0,0,0,0,0.15,0
0,0,0,0,0.15,0
0,0,0,0.002,0.14,0
0,0,0,0.002,0.14,0
0,0,0,0.002,0.15,0
0,0,0,0.002,0.15,0
0,0,0,0,0.15,0
0,0,0,0,0.15,0
0,0,0,0,0.15,0
0,0,0,0,0.15,0
0,0,0,0.002,0.15,0
0,0,0,0.002,0.15,0
0,0,0,0.002,0.15,0
0,0,0,0.002,0.15,0
0,0,0,0,0.15,0
0,0,0,0,0.15,0
0,0,0,0,0.15,0
0,0,0,0,0.16,0
0,0,0,0.002,0.15,0
0,0,0,0.002,0.15,0
0,0,0,0.002,0.15,0
0,0,0,0.002,0.16,0
0,0,0,0,0.16,0
0,0,0,0,0.16,0
0,0,0,0,0.16,0
0,0,0,0,0.16,0
0,0,0,0.002,0.16,0
0,0,0,0.002,0.16,0
0,0,0,0.002,0.16,0
0,0,0,0.002,0.16,0
0,0,0,0,0.16,0
0,0,0,0,0.16,0
0,0,0,0,0.16,0
0,0,0,0,0.16,0
0,0,0,0.002,0.16,0
0,0,0,0.002,0.16,0
0,0,0,0.002,0.16,0
0,0,0,0.002,0.16,0
0,0,0,0,0.16,0
0,0,0,0,0.17,0
0,0,0,0,0.17,0
0,0,0,0,0.17,0
0,0,0,0.002,0.16,0
0,0,0,0.002,0.17,0
0,0,0,0.002,0.17,0
0,0,0,0.002,0.17,0
0,0,0,0,0.17,0
0,0,0,0,0.17,0
0,0,0,0,0.17,0
0,0,0,0,0.17,0
0,0,0,0.002,0.17,0
0,0,0,0.002,0.17,0
0,0,0,0.002,0.17,0
0,0,0,0.002,0.17,0
0,0,0,0,0.17,0
0,0,0,0,0.17,0
0,0,0,0,0.17,0
0,0,0,0,0.17,0
0,0,0,0.002,0.17,0
0,0,0,0.002,0.17,0
0,0,0,0.002,0.17,0
0,0,0,0.002,0.17,0
0,0,0,0,0.18,0
0,0,0,0,0.18,0
0,0,0,0,0.18,0
0,0,0,0,0.18,0
0,0,0,0.002,0.18,0
0,0,0,0.002,0.18,0
0,0,0,0.002,0.18,0
0,0,0,0.002,0.18,0
0,0,0,0,0.18,0
0,0,0,0,0.18,0
0,0,0,0,0.18,0
0,0,0,0,0.18,0
0,0,0,0.002,0.18,0
0,0,0,0.002,0.18,0
0,0,0,0.002,0.18,0
0,0,0,0.002,0.18,0
0,0,0,0,0.18,0
0,0,0,0,0.19,0
0,0,0,0,0.19,0
0,0,0,0,0.19,0
0,0,0,0.002,0.18,0
0,0,0,0.002,0.19,0
0,0,0,0.002,0.19,0
0,0,0,0.002,0.19,0
0,0,0,0,0.19,0
0,0,0,0,0.19,0
0,0,0,0,0.19,0
0,0,0,0,0.19,0
0,0,0,0.002,0.19,0
0,0,0,0.002,0.19,0
0,0,0,0.002,0.19,0
0,0,0,0.002,0.19,0
0,0,0,0,0.19,0
0,0,0,0,0.19,0
0,0,0,0,0.19,0
0,0,0,0,0.19,0
0,0,0,0.002,0.19,0
0,0,0,0.002,0.19,0
0,0,0,0.002,0.19,0
0,0,0,0.002,0.19,0
0,0,0,0,0.2,0
0,0,0,0,0.2,0
0,0,0,0,0.2,0
0,0,0,0,0.2,0
0,0,0,0.002,0.2,0
0,0,0,0.002,0.2,0
0,0,0,0.002,0.2,0
0,0,0,0.002,0.2,0
0,0,0,0,0.2,0
0,0,0,0,0.2,0
0,0,0,0,0.2,0
0,0,0,0,0.2,0
0,0,0,0.002,0.2,0
0,0,0,0.002,0.2,0
0,0,0,0.002,0.2,0
0,0,0,0.002,0.2,0
0,0,0,0,0.2,0
0,0,0,0,0.2,0
0,0,0,0,0.21,0
0,0,0,0,0.21,0
0,0,0,0.002,0.2,0
0,0,0,0.002,0.2,0
0,0,0,0.002,0.21,0
