"Velocity:0","Velocity:1","Velocity:2","Points:0","Points:1","Points:2"
0,0,0,2.559,0.061,0
0,0,0,2.559,0.062,0
0,0,0,2.559,0.063,0
0,0,0,2.559,0.064,0
0,0,0,2.556,0.065,0
0,0,0,2.556,0.066,0
0,0,0,2.556,0.067,0
0,0,0,2.556,0.068,0
0,0,0,2.556,0.069,0
0,0,0,2.556,0.07,0
0,0,0,2.556,0.071,0
0,0,0,2.556,0.072,0
0,0,0,2.556,0.073,0
0,0,0,2.556,0.074,0
0,0,0,2.556,0.075,0
0,0,0,2.556,0.076,0
0,0,0,2.556,0.077,0
0,0,0,2.556,0.078,0
0,0,0,2.556,0.079,0
0,0,0,2.556,0.08,0
0,0,0,2.556,0.081,0
0,0,0,2.556,0.082,0
0,0,0,2.556,0.083,0
0,0,0,2.556,0.084,0
0,0,0,2.556,0.085,0
0,0,0,2.556,0.086,0
0,0,0,2.556,0.087,0
0,0,0,2.556,0.088,0
0,0,0,2.556,0.089,0
0,0,0,2.556,0.09,0
0,0,0,2.556,0.091,0
0,0,0,2.556,0.092,0
0,0,0,2.556,0.093,0
0,0,0,2.556,0.094,0
0,0,0,2.556,0.095,0
0,0,0,2.556,0.096,0
0,0,0,2.556,0.097,0
0,0,0,2.556,0.098,0
0,0,0,2.556,0.099,0
0,0,0,2.556,0.1,0
0,0,0,2.556,0.101,0
0,0,0,2.556,0.102,0
0,0,0,2.556,0.103,0
0,0,0,2.556,0.104,0
0,0,0,2.556,0.105,0
0,0,0,2.556,0.106,0
0,0,0,2.556,0.107,0
0,0,0,2.556,0.108,0
0,0,0,2.556,0.109,0
0,0,0,2.556,0.11,0
0,0,0,2.556,0.111,0
0,0,0,2.556,0.112,0
0,0,0,2.556,0.113,0
0,0,0,2.556,0.114,0
0,0,0,2.556,0.115,0
0,0,0,2.556,0.116,0
0,0,0,2.556,0.117,0
0,0,0,2.556,0.118,0
0,0,0,2.556,0.119,0
0,0,0,2.556,0.12,0
0,0,0,2.556,0.121,0
0,0,0,2.556,0.122,0
0,0,0,2.556,0.123,0
0,0,0,2.556,0.124,0
0,0,0,2.556,0.125,0
0,0,0,2.556,0.126,0
0,0,0,2.556,0.127,0
0,0,0,2.556,0.128,0
0,0,0,2.559,0.065,0
0,0,0,2.559,0.066,0
0,0,0,2.559,0.067,0
0,0,0,2.559,0.068,0
0,0,0,2.559,0.069,0
0,0,0,2.559,0.07,0
0,0,0,2.559,0.071,0
0,0,0,2.559,0.072,0
0,0,0,2.559,0.073,0
0,0,0,2.559,0.074,0
0,0,0,2.559,0.075,0
0,0,0,2.559,0.076,0
0,0,0,2.559,0.077,0
0,0,0,2.559,0.078,0
0,0,0,2.559,0.079,0
0,0,0,2.559,0.08,0
0,0,0,2.559,0.081,0
0,0,0,2.559,0.082,0
0,0,0,2.559,0.083,0
0,0,0,2.559,0.084,0
0,0,0,2.559,0.085,0
0,0,0,2.559,0.086,0
0,0,0,2.559,0.087,0
0,0,0,2.559,0.088,0
0,0,0,2.559,0.089,0
0,0,0,2.559,0.09,0
0,0,0,2.559,0.091,0
0,0,0,2.559,0.092,0
0,0,0,2.559,0.093,0
0,0,0,2.559,0.094,0
0,0,0,2.559,0.095,0
0,0,0,2.559,0.096,0
0,0,0,2.559,0.097,0
0,0,0,2.559,0.098,0
0,0,0,2.559,0.099,0
0,0,0,2.559,0.1,0
0,0,0,2.559,0.101,0
0,0,0,2.559,0.102,0
0,0,0,2.559,0.103,0
0,0,0,2.559,0.104,0
0,0,0,2.559,0.105,0
0,0,0,2.559,0.106,0
0,0,0,2.559,0.107,0
0,0,0,2.559,0.108,0
0,0,0,2.559,0.109,0
0,0,0,2.559,0.11,0
0,0,0,2.559,0.111,0
0,0,0,2.559,0.112,0
