Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
9.5687,5.235,-10.657,18.826,11.859,6.7027
16.654,5.0519,-5.3474,18.17,11.65,6.9545
-11.782,-11.412,0.54483,0.20744,0.98706,7.219
-11.782,11.412,0.54483,0.20744,17.013,7.219
11.782,11.412,0.54483,17.793,17.013,7.219
11.782,-11.412,0.54483,17.793,0.98706,7.219
-5.8381,6.8802,-7.3584,5.0873,-0.6388,6.2643
-1.4536,-8.0036,-8.3103,4.4663,-0.74616,6.8061
-5.7987,-16.843,-5.1636,4.5887,-0.091513,7.017
-5.8381,-6.8802,-7.3584,5.0873,18.639,6.2643
-1.4536,8.0036,-8.3103,4.4663,18.746,6.8061
-5.7987,16.843,-5.1636,4.5887,18.092,7.017
5.8381,6.8802,-7.3584,12.913,-0.6388,6.2643
1.4536,-8.0036,-8.3103,13.534,-0.74616,6.8061
5.7987,-16.843,-5.1636,13.411,-0.091513,7.017
5.8381,-6.8802,-7.3584,12.913,18.639,6.2643
1.4536,8.0036,-8.3103,13.534,18.746,6.8061
5.7987,16.843,-5.1636,13.411,18.092,7.017
-5.6867,-5.2545e-14,-2.3982,-1.9749,9,6.5403
-11.452,-2.8961e-14,-7.5097,-2.7463,9,6.2304
-7.9132,-6.9334e-14,-4.0515,-2.0177,9,6.4388
-12.413,1.441e-14,-10.502,-1.9385,9,6.37
5.6867,-3.6125e-14,-2.3982,19.975,9,6.5403
11.452,-1.7893e-14,-7.5097,20.746,9,6.2304
7.9132,-3.1036e-14,-4.0515,20.018,9,6.4388
12.413,5.4388e-14,-10.502,19.938,9,6.37
-10.15,-10.155,-1.7972,-0.40275,0.78272,7.2236
-10.15,10.155,-1.7972,-0.40275,17.217,7.2236
10.15,10.155,-1.7972,18.403,17.217,7.2236
10.15,-10.155,-1.7972,18.403,0.78272,7.2236
-1.1039,3.8716,-1.9881,7.1322,-0.52719,6.0525
-5.2081,-13.289,-15.755,7.1254,-1.5362,6.1259
1.1039,3.8716,-1.9881,10.868,-0.52719,6.0525
5.2081,-13.289,-15.755,10.875,-1.5362,6.1259
-1.1039,-3.8716,-1.9881,7.1322,18.527,6.0525
-5.2081,13.289,-15.755,7.1254,19.536,6.1259
1.1039,-3.8716,-1.9881,10.868,18.527,6.0525
5.2081,13.289,-15.755,10.875,19.536,6.1259
-6.1907,-1.0498,-8.6971,-0.70328,6.591,4.4919
-6.1907,1.0498,-8.6971,-0.70328,11.409,4.4919
6.1907,-1.0498,-8.6971,18.703,6.591,4.4919
6.1907,1.0498,-8.6971,18.703,11.409,4.4919
-12.334,-8.4725e-13,-2.6307,-5.1084,9,6.0807
-17.448,-8.4988e-13,-8.6668,-5.0708,9,5.9046
12.334,-5.6937e-13,-2.6307,23.108,9,6.0807
17.448,-5.5023e-13,-8.6668,23.071,9,5.9046
0.59143,-18.471,-5.5592,8.9504,-5.2162,6.3456
4.269e-13,-16.629,-4.927,9,-4.8861,6.659
-0.40659,-13.363,-1.8122,7.5111,-4.6919,6.371
2.6882,-17.354,-7.2773,7.5437,-4.4701,6.5612
1.0353e-12,-12.58,-2.3697,9,-5.0265,7.1288
0.59143,18.471,-5.5592,8.9504,23.216,6.3456
-4.8905e-12,16.629,-4.927,9,22.886,6.659
-0.40659,13.363,-1.8122,7.5111,22.692,6.371
2.6882,17.354,-7.2773,7.5437,22.47,6.5612
-1.9018e-12,12.58,-2.3697,9,23.027,7.1288
-0.59143,-18.471,-5.5592,9.0496,-5.2162,6.3456
0.40659,-13.363,-1.8122,10.489,-4.6919,6.371
-2.6882,-17.354,-7.2773,10.456,-4.4701,6.5612
-0.59143,18.471,-5.5592,9.0496,23.216,6.3456
0.40659,13.363,-1.8122,10.489,22.692,6.371
-2.6882,17.354,-7.2773,10.456,22.47,6.5612
-6.6248,-9.9384,-11.234,3.7043,-0.57996,4.5158
-6.6248,9.9384,-11.234,3.7043,18.58,4.5158
6.6248,-9.9384,-11.234,14.296,-0.57996,4.5158
6.6248,9.9384,-11.234,14.296,18.58,4.5158
-9.9927,-11.202,-2.8466,-2.4466,-1.5958,7.4151
-15.783,-14.746,-4.3766,-2.575,-1.6441,7.4622
-9.9927,11.202,-2.8466,-2.4466,19.596,7.4151
-15.783,14.746,-4.3766,-2.575,19.644,7.4622
9.9927,11.202,-2.8466,20.447,19.596,7.4151
15.783,14.746,-4.3766,20.575,19.644,7.4622
9.9927,-11.202,-2.8466,20.447,-1.5958,7.4151
15.783,-14.746,-4.3766,20.575,-1.6441,7.4622
-8.6511,-2.0162,-8.4056,-3.3584,7.2464,5.1002
8.6511,-2.0162,-8.4056,21.358,7.2464,5.1002
-8.6511,2.0162,-8.4056,-3.3584,10.754,5.1002
8.6511,2.0162,-8.4056,21.358,10.754,5.1002
